place_fips,name,risk_area,population,pop_class,state_abbr,lon,lat
0400730,Aguila,0.009,565.0,3.0,AZ,-113.16646298599994,33.93751490000004
0400870,Ajo,0.0019,3039.0,5.0,AZ,-112.88387196999997,32.39228656300002
0400940,Ak Chin,0.0085,50.0,1.0,AZ,-112.00906030399995,32.287318498000054
0401090,Ak-Chin Village,0.2472,884.0,3.0,AZ,-112.08081989399994,33.01963808800007
0401170,Alamo Lake,0.0008,4.0,1.0,AZ,-113.507913295,34.258755597000054
0401560,Ali Chuk,0.0007,119.0,1.0,AZ,-112.55837751199999,31.816914256000107
0401570,Ali Chukson,0.161,113.0,1.0,AZ,-111.80163009699999,31.9115196270001
0401620,Ali Molina,0.0235,61.0,1.0,AZ,-111.78038175999995,31.90254559200006
0401920,Alpine,0.0207,146.0,1.0,AZ,-109.14334720499994,33.846107736000064
0401990,Amado,0.517,198.0,1.0,AZ,-111.06911749999995,31.69874265400003
0402270,Anegam,0.0041,149.0,1.0,AZ,-112.03496517199994,32.37419058400004
0402410,Antares,0.061,132.0,1.0,AZ,-113.80825692599996,35.422995752000055
0402430,Anthem,7.2965,23190.0,6.0,AZ,-112.11699939199997,33.855953940000106
0402830,Apache Junction,3.3911,38499.0,6.0,AZ,-111.55774774999998,33.40095016800007
0403320,Arivaca,0.0504,623.0,3.0,AZ,-111.32989296999995,31.574247027000105
0403380,Arivaca Junction,4.3885,970.0,3.0,AZ,-111.07376943799994,31.73897275100008
0403530,Arizona City,0.663,9868.0,5.0,AZ,-111.67079024499998,32.75062461900011
0403915,Arizona Village,0.6598,1057.0,4.0,AZ,-114.58933998599997,34.85484443700006
0404020,Arlington,0.163,150.0,1.0,AZ,-112.77476032899995,33.33462164000008
0404440,Ash Fork,0.0709,361.0,2.0,AZ,-112.49130267299995,35.217196477000044
0404710,Avenue B and C,0.0488,4101.0,5.0,AZ,-114.65974652399996,32.71924344600007
0404720,Avondale,3.7147,89334.0,7.0,AZ,-112.34290553299996,33.437685610000095
0404880,Avra Valley,0.5076,5569.0,5.0,AZ,-111.33925616699997,32.419523110000014
0404930,Aztec,0.0008,2.0,1.0,AZ,-113.44269661599998,32.80812723600011
0405140,Bagdad,0.0198,1932.0,4.0,AZ,-113.17701079799997,34.577112849000066
0405450,Bear Flat,0.0881,11.0,1.0,AZ,-111.06738719599997,34.292388372000055
0405490,Beaver Dam,0.5873,1552.0,4.0,AZ,-113.93631540999996,36.90709499100009
0405495,Beaver Valley,3.401,226.0,1.0,AZ,-111.29868349399999,34.34091606900007
0405700,Bellemont,0.7616,1167.0,4.0,AZ,-111.81381030199998,35.24247232400007
0405770,Benson,1.3091,5355.0,5.0,AZ,-110.29649134399996,31.966670085000036
0405970,Beyerville,1.0898,72.0,1.0,AZ,-110.87492642299998,31.392022359000027
0406260,Bisbee,1.0984,4923.0,5.0,AZ,-109.91470363099995,31.43855483500005
0406470,Bitter Springs,0.0032,355.0,2.0,AZ,-111.65853849999996,36.616617936000054
0406610,Black Canyon City,0.1022,2677.0,5.0,AZ,-112.129831,34.072886819000075
0406820,Blackwater,1.2934,1190.0,4.0,AZ,-111.57985689899999,33.03943121700007
0406997,Blue Ridge,0.1106,594.0,3.0,AZ,-111.08252474999995,34.64963645900014
0407025,Bluewater,0.1176,682.0,3.0,AZ,-114.28106449999996,34.164450682000066
0407310,Bouse,0.0067,707.0,3.0,AZ,-114.00436286699995,33.931008066000054
0407380,Bowie,0.0327,406.0,2.0,AZ,-109.48444902899996,32.32484150000006
0407590,Brenda,0.0074,466.0,2.0,AZ,-113.93788202399998,33.67208356300008
0407915,Bryce,0.0209,173.0,1.0,AZ,-109.82308313299995,32.92582147600004
0407940,Buckeye,0.7527,91502.0,7.0,AZ,-112.58651524799996,33.370035277000085
0408020,Buckshot,0.0031,70.0,1.0,AZ,-114.48289002599995,32.74040569400009
0408220,Bullhead City,0.345,41348.0,6.0,AZ,-114.58610435999998,35.11411708300005
0408535,Burnside,0.0018,494.0,2.0,AZ,-109.62477659799998,35.753363295
0408710,Bylas,0.0505,1782.0,4.0,AZ,-110.127551,33.141082259000044
0408920,Cactus Flats,0.6533,1524.0,4.0,AZ,-109.71731953899997,32.76406681000001
0408990,Cactus Forest,0.1834,606.0,3.0,AZ,-111.31692822499997,32.95782976300004
0409340,Cameron,0.0103,734.0,3.0,AZ,-111.426078,35.86218009600003
0409580,Campo Bonito,0.2777,83.0,1.0,AZ,-110.69842729399994,32.56288222300004
0409690,Camp Verde,1.2889,12147.0,6.0,AZ,-111.86289249999999,34.57193999300002
0409900,Cane Beds,0.0267,466.0,2.0,AZ,-112.91177183599996,36.93415042500003
0410040,Canyon Day,0.3394,1205.0,4.0,AZ,-110.03276033299994,33.78261388400005
0410180,Carefree,1.7196,3690.0,5.0,AZ,-111.91612827099999,33.8234019400001
0410320,Carrizo,0.0364,92.0,1.0,AZ,-110.33142203199998,33.98663537200003
0410460,Casa Blanca,0.6506,1727.0,4.0,AZ,-111.90807197599997,33.11544852000004
0410530,Casa Grande,1.858,53658.0,7.0,AZ,-111.76123549999994,32.89780587600008
0410670,Casas Adobes,6.8268,70973.0,7.0,AZ,-111.01117003,32.342287971000076
0411160,Catalina,5.6208,7551.0,5.0,AZ,-110.92858824199999,32.506914860000066
0411230,Catalina Foothills,3.2107,52401.0,7.0,AZ,-110.91480721599999,32.29829835500007
0411300,Cave Creek,4.8024,4892.0,5.0,AZ,-111.954991399,33.82623803300001
0411370,Cedar Creek,0.1261,372.0,2.0,AZ,-110.19433649999996,33.894103561000094
0411500,Centennial Park,0.023,1578.0,4.0,AZ,-112.98131677999999,36.953802598000046
0411580,Central,0.4112,758.0,3.0,AZ,-109.79134427599996,32.868049281
0411720,Central Heights-Midland City,30.5106,2319.0,4.0,AZ,-110.81527404599996,33.39998158900006
0412000,Chandler,0.6376,275987.0,9.0,AZ,-111.863762,33.29481186000005
0412150,Charco,0.0039,27.0,1.0,AZ,-112.599797,32.24600823800008
0412560,Chiawuli Tak,0.0467,48.0,1.0,AZ,-111.77646590399998,31.940958686000037
0412630,Chilchinbito,0.0003,769.0,3.0,AZ,-110.05122047999998,36.50273424300008
0412770,Chinle,0.0062,4573.0,5.0,AZ,-109.5801525,36.15966811400009
0412840,Chino Valley,2.4235,13020.0,6.0,AZ,-112.45138366999998,34.76164397900004
0412910,Chloride,0.2641,229.0,1.0,AZ,-114.19724056199999,35.409706367000084
0413140,Christopher Creek,0.2283,121.0,1.0,AZ,-111.00012274999995,34.32333226200006
0413190,Chuichu,0.0763,240.0,1.0,AZ,-111.78218482299997,32.74032914400006
0413400,Cibecue,0.3251,1816.0,4.0,AZ,-110.48541402899997,34.033184551000055
0413470,Cibola,0.0036,198.0,1.0,AZ,-114.67918998599998,33.37336172000001
0413540,Cienega Springs,0.1179,1690.0,4.0,AZ,-114.21591524999997,34.19301372300006
0413610,Circle City,0.1566,522.0,3.0,AZ,-112.58099296999995,33.814876844000075
0413820,Citrus Park,1.7707,5194.0,5.0,AZ,-112.44390597099999,33.53030962000003
0413850,Clacks Canyon,8.547,167.0,1.0,AZ,-114.07231406899996,35.220353342000124
0413890,Clarkdale,0.6724,4424.0,5.0,AZ,-112.03937549999995,34.770838031000025
0413960,Claypool,11.5908,1395.0,4.0,AZ,-110.84225459099999,33.40604542200004
0414030,Clay Springs,0.2015,331.0,2.0,AZ,-110.30433974999993,34.35926130100003
0414380,Clifton,0.2363,3933.0,5.0,AZ,-109.30634274999994,33.04659535400002
0414870,Colorado City,1.6367,2478.0,4.0,AZ,-112.986304,36.980801181000075
0415080,Comobabi,0.0055,44.0,1.0,AZ,-111.802379,32.05536896100005
0415150,Concho,0.0076,54.0,1.0,AZ,-109.63191678899994,34.44749913100004
0415220,Congress,0.0954,1811.0,4.0,AZ,-112.84948593699995,34.153912330000054
0415500,Coolidge,0.502,13218.0,6.0,AZ,-111.526921,32.968797254000066
0415600,Copper Hill,0.4234,158.0,1.0,AZ,-110.75163496799996,33.437919949000026
0415765,Cordes Lakes,0.2691,2684.0,5.0,AZ,-112.10730823699998,34.310276783000084
0415850,Cornfields,0.0027,221.0,1.0,AZ,-109.67574106599994,35.65135114200007
0415920,Cornville,1.9569,3362.0,5.0,AZ,-111.90855466499994,34.73896588000006
0416030,Corona de Tucson,4.4586,9240.0,5.0,AZ,-110.76515124999997,31.95548814700009
0416360,Cottonwood,0.0009,167.0,1.0,AZ,-109.89022501199997,36.072385874000055
