"name","mature_forest_ratio"
"4FRI","0.194803122372695"
"Central Oregon","0.191997044067464"
"Central Washington Initiative","0.188156031591047"
"Colorado Front Range","0.194483483531827"
"Colville Northeast Washington Vision","0.304387887833442"
"Enchanted Circle","0.324784684669109"
"Klamath River Basin","0.196732780487164"
"Kootenai Complex","0.224442274312498"
"Mount Hood Forest Health and Fire-Resilient Communities","0.304529030115585"
"Nez Perce-Clearwater-Lower Salmon","0.502338108327782"
"North Yuba","0.524835469878646"
"Pine Valley","0.200539629367222"
"Plumas Community Protection","0.36701656500982"
"Prescott","0.198935175948286"
"San Carlos Apache Tribal Forest Protection","0.119353821743021"
"Sierra and Elko Fronts","0.0649439964967433"
"Southern California Fireshed Risk Reduction Strategy","0.102391265450674"
"Southwest Idaho","0.294172109389705"
"Stanislaus","0.348168561926371"
"Trinity Forest Health and Fire-Resilient Rural Communities","0.346511684374634"
"Wasatch","0.215493332868598"
